mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.11058604,0.83550936,0.88,8.705,0.15811032,0.07397838
foreground_rescue_20,0.06963573,0.8409216,0.88,14.68,0.19906063,0.079390556
foreground_rescue_5,0.15021221,0.80427504,0.855,4.72,0.11848415,0.042744104
random,0.1474871,0.79807913,0.835,0.0,0.12120925,0.036548153
random_rescue_10,0.21030153,0.7774788,0.815,8.705,0.058394827,0.015947826
random_rescue_20,0.18846646,0.7856086,0.82,14.68,0.08022991,0.024077628
random_rescue_5,0.2076335,0.7799577,0.83,4.72,0.061062865,0.018426733
student,0.26869637,0.761531,0.8,0.0,0.0,0.0
