epoch,mask_method,group,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,student,2,0.0,0.82,0.42,0.48,0.8274997,0.44,0.38411918,0.39948997,0.38,0.0,0.0,0.23306122,0.7669388,0.5703695,0.26867345,0.44084287,52.66
0,student,3,0.0,0.94,0.62,0.36,0.14044918,0.1,0.07937036,0.8058764,0.84,0.0,0.0,0.25040817,0.7495918,0.5086858,0.2522449,0.48909545,49.44
5,foreground_rescue_10,0,8.82,0.98,0.88,0.12,0.0017531617,0.0,-0.0055096378,0.94200563,0.98,0.09624976,0.01228335,0.28877553,0.7112245,0.23991716,0.20091838,0.7121096,39.38
5,foreground_rescue_10,1,5.46,0.9,0.22,0.7,0.07578245,0.08,-0.006323285,0.8810594,0.9,0.11062664,0.05476334,0.29612246,0.70387757,0.10938322,0.1727551,0.851957,33.86
5,foreground_rescue_10,2,8.86,0.82,0.04,0.78,0.20146106,0.12,0.092997015,0.6906122,0.74,0.22516842,0.08175925,0.4,0.6,0.21652193,0.26867345,0.74341387,52.66
5,foreground_rescue_10,3,8.04,0.94,0.78,0.22,0.041810263,0.04,0.042260952,0.84298587,0.9,-0.005176335,0.0044847564,0.37775508,0.6222449,0.19302735,0.2522449,0.76652443,49.44
5,foreground_rescue_20,0,15.14,0.98,0.88,0.12,0.00095250556,0.0,-0.003782317,0.9402783,0.98,0.09705042,0.010556029,0.35326532,0.6467347,0.08089001,0.20091838,0.8479728,39.38
5,foreground_rescue_20,1,8.04,0.9,0.22,0.7,0.0634999,0.06,-0.016243355,0.89097947,0.92,0.122909196,0.06468341,0.322449,0.67755103,0.041211557,0.1727551,0.9065577,33.86
5,foreground_rescue_20,2,15.06,0.82,0.04,0.78,0.11411963,0.08,0.06382129,0.7197879,0.78,0.31250983,0.11093497,0.4632653,0.5367347,0.101517804,0.26867345,0.8418619,52.66
5,foreground_rescue_20,3,12.84,0.94,0.78,0.22,0.037663415,0.04,0.034727383,0.8505194,0.9,-0.0010294849,0.0120183285,0.4267347,0.5732653,0.09974739,0.2522449,0.84459627,49.44
5,foreground_rescue_5,0,4.6,0.98,0.88,0.12,0.0015127128,0.0,-0.0066854074,0.9431814,0.98,0.09649021,0.01345912,0.24571428,0.75428575,0.36422387,0.20091838,0.6105529,39.38
5,foreground_rescue_5,1,3.32,0.9,0.22,0.7,0.10453872,0.08,0.00507749,0.86965865,0.9,0.08187036,0.043362565,0.2742857,0.72571427,0.17022508,0.1727551,0.8050444,33.86
