epoch,mask_method,group,count,sum
60,random_rescue_20,1,50,26
60,random_rescue_20,2,50,38
60,random_rescue_20,3,50,10
60,random_rescue_5,0,50,4
60,random_rescue_5,1,50,26
60,random_rescue_5,2,50,38
60,random_rescue_5,3,50,10
60,student,0,50,4
60,student,1,50,26
60,student,2,50,38
60,student,3,50,10
80,foreground_rescue_10,0,50,5
80,foreground_rescue_10,1,50,32
80,foreground_rescue_10,2,50,38
80,foreground_rescue_10,3,50,10
80,foreground_rescue_20,0,50,5
80,foreground_rescue_20,1,50,32
80,foreground_rescue_20,2,50,38
80,foreground_rescue_20,3,50,10
80,foreground_rescue_5,0,50,5
80,foreground_rescue_5,1,50,32
80,foreground_rescue_5,2,50,38
80,foreground_rescue_5,3,50,10
80,random,0,50,5
80,random,1,50,32
80,random,2,50,38
80,random,3,50,10
80,random_rescue_10,0,50,5
80,random_rescue_10,1,50,32
80,random_rescue_10,2,50,38
80,random_rescue_10,3,50,10
80,random_rescue_20,0,50,5
80,random_rescue_20,1,50,32
80,random_rescue_20,2,50,38
80,random_rescue_20,3,50,10
80,random_rescue_5,0,50,5
80,random_rescue_5,1,50,32
80,random_rescue_5,2,50,38
80,random_rescue_5,3,50,10
80,student,0,50,5
80,student,1,50,32
80,student,2,50,38
80,student,3,50,10
100,foreground_rescue_10,0,50,6
100,foreground_rescue_10,1,50,27
100,foreground_rescue_10,2,50,35
100,foreground_rescue_10,3,50,8
100,foreground_rescue_20,0,50,6
100,foreground_rescue_20,1,50,27
100,foreground_rescue_20,2,50,35
100,foreground_rescue_20,3,50,8
100,foreground_rescue_5,0,50,6
100,foreground_rescue_5,1,50,27
100,foreground_rescue_5,2,50,35
100,foreground_rescue_5,3,50,8
100,random,0,50,6
100,random,1,50,27
100,random,2,50,35
100,random,3,50,8
100,random_rescue_10,0,50,6
100,random_rescue_10,1,50,27
100,random_rescue_10,2,50,35
100,random_rescue_10,3,50,8
100,random_rescue_20,0,50,6
