sample_id,group,epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
3040,2,0,0.2619783407310601,,0.5918367346938775,0.15306123,0.8469388,0.11764705,0.0867347,0.7631495,17
3068,3,0,-0.269252285060842,,0.2653061224489796,0.091836736,0.90816325,0.7804878,0.20918368,0.2622661,41
3085,1,0,0.33873725983950786,,0.7040816326530612,0.071428575,0.9285714,0.8,0.17857143,0.18803106,35
3105,1,0,0.5111412155647108,,0.7755102040816326,0.13265306,0.86734694,0.68292683,0.20918368,0.33623862,41
3163,0,0,0.21194048880778396,,0.5612244897959183,0.2244898,0.7755102,0.5849056,0.27040815,0.45039037,53
3323,3,0,-0.39809226306688233,,0.23469387755102042,0.040816326,0.9591837,0.902439,0.20918368,0.14752986,41
3368,2,0,-0.3350190056498976,,0.25510204081632654,0.13265306,0.86734694,0.48000002,0.12755102,0.523615,25
3386,2,0,0.30006295372502767,,0.5714285714285714,0.41836736,0.5816326,0.34920633,0.32142857,0.65361595,63
3437,2,0,0.16652455593717377,,0.5612244897959183,0.071428575,0.9285714,0.58823526,0.0867347,0.40865803,17
3523,3,0,0.05706316888332842,,0.37755102040816324,0.091836736,0.90816325,0.75,0.18367347,0.26047128,36
3550,3,0,-0.13324514499278822,,0.4387755102040816,0.1734694,0.8265306,0.46875,0.1632653,0.5271445,32
3588,3,0,0.3114567810724446,,0.6632653061224489,0.18367347,0.8163265,0.71428573,0.32142857,0.27617657,63
3596,2,0,0.2295563754592036,,0.5612244897959183,0.06122449,0.93877554,0.75,0.12244898,0.23300885,24
3675,2,0,0.4165145949047327,,0.6836734693877551,0.29591838,0.70408165,0.29268295,0.20918368,0.6568653,41
3709,3,0,0.19664512427384073,,0.5510204081632653,0.3877551,0.6122449,0.62745094,0.52040815,0.36659497,102
3720,2,0,0.20355090884459992,,0.5714285714285714,0.2857143,0.71428573,0.09677422,0.15816326,0.86112416,31
3779,3,0,0.12516794300695677,,0.45918367346938777,0.19387755,0.8061224,0.5681818,0.2244898,0.44504946,44
3782,2,0,0.3215771900325925,,0.6224489795918368,0.26530612,0.7346939,0.6285714,0.35714287,0.40522707,70
3783,2,0,0.6275338874323646,,0.7653061224489796,0.46938777,0.53061223,0.34285712,0.35714287,0.66115713,70
3789,3,0,-0.03708054092390568,,0.5,0.42857143,0.57142854,0.46153843,0.39795917,0.5221923,78
3804,2,0,-0.14534341655443903,,0.45918367346938777,0.30612245,0.6938776,0.5588235,0.3469388,0.4169611,68
3815,2,0,0.2786363745029445,,0.6122448979591837,0.36734694,0.63265306,0.21739131,0.23469388,0.74055487,46
3817,2,0,-0.06393867191546669,,0.45918367346938777,0.40816328,0.5918367,0.36507934,0.32142857,0.64297223,63
3867,0,0,0.30364733163862967,,0.5714285714285714,0.1122449,0.8877551,0.5769231,0.13265306,0.41593766,26
3918,0,0,-0.26256165879081034,,0.3163265306122449,0.10204082,0.8979592,0.5652174,0.11734694,0.43841627,23
3980,1,0,-0.15059806038776308,,0.3979591836734694,0.20408164,0.79591835,0.6363636,0.28061223,0.36853883,55
4078,2,0,0.15024350749609028,,0.6326530612244898,0.12244898,0.877551,0.39999998,0.10204082,0.6213737,20
4094,3,0,-0.11826140867384083,,0.37755102040816324,0.12244898,0.877551,0.6756757,0.18877551,0.36618286,37
4128,2,0,-0.3660814892141941,,0.3469387755102041,0.040816326,0.9591837,0.8095238,0.10714286,0.19522357,21
4158,2,0,0.4908924288184622,,0.6530612244897959,0.622449,0.37755102,0.4245283,0.5408163,0.5674331,106
4192,3,0,0.1507335304289619,,0.47959183673469385,0.1632653,0.8367347,0.70909095,0.28061223,0.28035653,55
4196,0,0,0.42974603351688195,,0.6530612244897959,0.41836736,0.5816326,0.38805968,0.34183672,0.5951395,67
4228,1,0,-0.07466949294360462,,0.46938775510204084,0.06122449,0.93877554,0.71428573,0.10714286,0.29818425,21
4259,0,0,-0.2463307540899999,,0.41836734693877553,0.020408163,0.97959185,0.8666667,0.07653061,0.111439474,15
4328,0,0,-0.1252285060841986,,0.47959183673469385,0.08163265,0.9183673,0.84313726,0.26020408,0.15827075,51
4386,1,0,-0.09908920267482506,,0.47959183673469385,0.06122449,0.93877554,0.85365856,0.20918368,0.12983024,41
4540,1,0,-0.33479109722764544,,0.2755102040816326,0.12244898,0.877551,0.72727275,0.2244898,0.27072692,44
4562,0,0,-0.11565635234960833,,0.45918367346938777,0.05102041,0.9489796,0.77272725,0.1122449,0.27096042,22
4844,1,0,-0.23868227494043304,,0.3673469387755102,0.19387755,0.8061224,0.69841266,0.32142857,0.31274965,63
4856,3,0,0.5145917172023046,,0.7755102040816326,0.2244898,0.7755102,0.5849056,0.27040815,0.3884076,53
4885,2,0,0.15756918933133582,,0.5510204081632653,0.10204082,0.8979592,0.67741936,0.15816326,0.34089494,31
4891,3,0,-0.29336754615942434,,0.29591836734693877,0.05102041,0.9489796,0.8076923,0.13265306,0.22629441,26
4973,2,0,-0.20077616364780976,,0.35714285714285715,0.71428573,0.28571427,0.44,0.6377551,0.56378615,125
5037,2,0,-0.2282080501079776,,0.3673469387755102,0.2857143,0.71428573,0.62666667,0.38265306,0.372667,75
5049,2,0,0.44799623871415023,,0.6938775510204082,0.33673468,0.66326535,0.56,0.38265306,0.43739364,75
5057,3,0,0.25730382742710517,,0.6020408163265306,0.41836736,0.5816326,0.5543478,0.46938777,0.46103165,92
5063,3,0,0.4445712373196057,,0.673469387755102,0.5510204,0.44897962,0.5090909,0.56122446,0.48260596,110
5110,2,0,0.20228067798771207,,0.5714285714285714,0.030612245,0.96938777,0.85,0.10204082,0.14765856,20
5158,2,0,-0.029798627768170917,,0.3877551020408163,0.39795917,0.6020408,0.41791046,0.34183672,0.56810063,67
5171,2,0,0.38941261783901376,,0.6224489795918368,0.3469388,0.6530612,0.4516129,0.31632653,0.5317267,62
5179,2,0,0.12670114512028943,,0.5510204081632653,0.091836736,0.90816325,0.39999998,0.07653061,0.6522532,15
5203,3,0,0.05749348548478353,,0.46938775510204084,0.2244898,0.7755102,0.4358974,0.19897959,0.57039684,39
5220,3,0,-0.2201292543569556,,0.40816326530612246,0.13265306,0.86734694,0.5,0.13265306,0.5097506,26
5229,3,0,0.49354226009545,,0.6836734693877551,0.10204082,0.8979592,0.7619048,0.21428572,0.23296191,42
5254,3,0,-0.21609862218999276,,0.3163265306122449,0.12244898,0.877551,0.52,0.12755102,0.4582445,25
5337,1,0,0.22254540238586648,,0.5510204081632653,0.06122449,0.93877554,0.64705884,0.0867347,0.35912624,17
5435,0,0,0.18500107579150363,,0.5612244897959183,0.33673468,0.66326535,0.5147059,0.3469388,0.495923,68
5583,0,0,0.17799966530930997,,0.5918367346938775,0.37755102,0.622449,0.4861111,0.36734694,0.504275,72
5675,0,0,0.12257488704189212,,0.4897959183673469,0.1632653,0.8367347,0.4285714,0.14285715,0.59501445,28
5688,0,0,0.09090517893998677,,0.5408163265306123,0.29591838,0.70408165,0.5084746,0.3010204,0.4894648,59
5723,1,0,-0.04498721003434564,,0.4387755102040816,0.06122449,0.93877554,0.6666666,0.091836736,0.2886234,18
5835,3,0,0.1008486799639809,,0.5,0.33673468,0.66326535,0.53521127,0.3622449,0.43415037,71
5840,3,0,-0.3330267991616795,,0.2857142857142857,0.12244898,0.877551,0.8125,0.3265306,0.18873534,64
5850,2,0,-0.15696196479372693,,0.4387755102040816,0.5,0.5,0.51485145,0.5153061,0.48434606,101
5856,2,0,0.4982492489381539,,0.6836734693877551,0.1632653,0.8367347,0.7714286,0.35714287,0.2518392,70
5955,2,0,-0.3102200192845588,,0.3163265306122449,0.19387755,0.8061224,0.53658533,0.20918368,0.43845308,41
6145,3,0,0.06548143661994278,,0.42857142857142855,0.18367347,0.8163265,0.57142854,0.21428572,0.42061564,42
6155,3,0,-0.3700961837292512,,0.2755102040816326,0.3265306,0.6734694,0.6631579,0.48469388,0.33676273,95
6167,3,0,-0.1407246850321542,,0.336734693877551,0.08163265,0.9183673,0.8333333,0.24489796,0.21349168,48
6180,2,0,0.40364812852122495,,0.6428571428571429,0.40816328,0.5918367,0.56989247,0.4744898,0.4446507,93
6238,0,0,0.15420634477922368,,0.5612244897959183,0.1122449,0.8877551,0.47619045,0.10714286,0.5523356,21
6318,0,0,-0.31754974539601083,,0.30612244897959184,0.12244898,0.877551,0.7209302,0.21938775,0.32416826,43
6336,0,0,0.3273577763788061,,0.5918367346938775,0.23469388,0.7653061,0.53999996,0.25510204,0.4898026,50
6338,1,0,0.2520619337153057,,0.6020408163265306,0.071428575,0.9285714,0.8833333,0.30612245,0.13832922,60
6519,1,0,0.09228697336021484,,0.47959183673469385,0.06122449,0.93877554,0.7,0.10204082,0.28367105,20
6530,0,0,0.2723601271824622,,0.6326530612244898,0.19387755,0.8061224,0.55813956,0.21938775,0.47180772,43
6563,1,0,-0.11390480440516698,,0.25510204081632654,0.08163265,0.9183673,0.6521739,0.11734694,0.3137085,23
6633,0,0,-0.11309676545354573,,0.45918367346938777,0.040816326,0.9591837,0.6666666,0.06122449,0.24441464,12
6634,1,0,0.18240164476567666,,0.5102040816326531,0.24489796,0.75510204,0.5102041,0.25,0.4733817,49
6778,0,0,-0.03963215899401541,,0.5,0.071428575,0.9285714,0.78787875,0.16836734,0.22683378,33
6797,0,0,0.26177593255185716,,0.6224489795918368,0.18367347,0.8163265,0.3076923,0.13265306,0.6431433,26
6889,0,0,0.19871701902158756,,0.5408163265306123,0.1122449,0.8877551,0.5769231,0.13265306,0.45929822,26
6898,1,0,0.146006422873718,,0.5,0.13265306,0.86734694,0.6285714,0.17857143,0.38708523,35
6997,0,0,-0.08857987552693862,,0.4387755102040816,0.2857143,0.71428573,0.4814815,0.2755102,0.5215209,54
7145,1,0,0.8571619823251441,,0.8877551020408163,0.0,1.0,1.0,0.05612245,0.15663266,11
7677,1,0,0.6626955350668186,,0.8061224489795918,0.08163265,0.9183673,0.89041096,0.37244898,0.1366254,73
7725,1,0,0.2979209333088956,,0.5918367346938775,0.33673468,0.66326535,0.5217391,0.35204083,0.4741549,69
7802,0,0,-0.18107085083154698,,0.37755102040816324,0.06122449,0.93877554,0.57142854,0.071428575,0.40187353,14
7910,1,0,0.15529648016957662,,0.46938775510204084,0.23469388,0.7653061,0.5,0.23469388,0.50103885,46
7945,1,0,-0.1801783423248253,,0.29591836734693877,0.071428575,0.9285714,0.8292683,0.20918368,0.1982987,41
7982,1,0,0.32053168006757565,,0.6938775510204082,0.23469388,0.7653061,0.6349206,0.32142857,0.36328954,63
8273,2,0,-0.16532285698348062,,0.37755102040816324,0.08163265,0.9183673,0.82222223,0.22959183,0.17113931,45
8279,2,0,0.3888866753261242,,0.6122448979591837,0.41836736,0.5816326,0.43055558,0.36734694,0.59449494,72
8288,2,0,0.09891544278781407,,0.5510204081632653,0.1122449,0.8877551,0.5769231,0.13265306,0.46226504,26
8321,3,0,0.17248683151511288,,0.5612244897959183,0.13265306,0.86734694,0.5,0.13265306,0.48113206,26
8328,3,0,-0.6069822852999067,,0.22448979591836735,0.10204082,0.8979592,0.74358976,0.19897959,0.2771965,39
8383,2,0,0.24991194447322077,,0.6020408163265306,0.020408163,0.97959185,0.75,0.040816326,0.23237512,8
8389,3,0,0.0011857613017874076,,0.41836734693877553,0.64285713,0.35714287,0.4166667,0.5510204,0.5815532,108
8397,3,0,-0.061049175624955175,,0.32653061224489793,0.1122449,0.8877551,0.74418604,0.21938775,0.26202592,43
8404,3,0,0.10684123708054093,,0.46938775510204084,0.25510204,0.74489796,0.48979592,0.25,0.47313604,49
8449,3,0,0.669724039557252,,0.8061224489795918,0.040816326,0.9591837,0.6363636,0.05612245,0.36879417,11
8451,3,0,-0.29247185012232146,,0.3163265306122449,0.2857143,0.71428573,0.36363637,0.2244898,0.6130958,44
