mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.12917867,0.84134746,0.885,8.46,0.048401114,0.03159846
foreground_rescue_20,0.10913044,0.8607856,0.91,13.615,0.06844935,0.051036652
foreground_rescue_5,0.1552073,0.83066255,0.865,4.615,0.022372479,0.020913549
random,0.16123016,0.7669298,0.795,0.0,0.01634962,-0.042819217
random_rescue_10,0.16445965,0.7909551,0.825,8.46,0.013120137,-0.018793816
random_rescue_20,0.17312874,0.8118297,0.835,13.615,0.0044510495,0.002080707
random_rescue_5,0.18469721,0.81164205,0.85,4.615,-0.0071174335,0.001893093
student,0.17757979,0.809749,0.84,0.0,0.0,0.0
