epoch,mask_method,group,count,sum
60,random_rescue_20,1,50,23
60,random_rescue_20,2,50,32
60,random_rescue_20,3,50,4
60,random_rescue_5,0,50,3
60,random_rescue_5,1,50,23
60,random_rescue_5,2,50,32
60,random_rescue_5,3,50,4
60,student,0,50,3
60,student,1,50,23
60,student,2,50,32
60,student,3,50,4
80,foreground_rescue_10,0,50,3
80,foreground_rescue_10,1,50,23
80,foreground_rescue_10,2,50,30
80,foreground_rescue_10,3,50,6
80,foreground_rescue_20,0,50,3
80,foreground_rescue_20,1,50,23
80,foreground_rescue_20,2,50,30
80,foreground_rescue_20,3,50,6
80,foreground_rescue_5,0,50,3
80,foreground_rescue_5,1,50,23
80,foreground_rescue_5,2,50,30
80,foreground_rescue_5,3,50,6
80,random,0,50,3
80,random,1,50,23
80,random,2,50,30
80,random,3,50,6
80,random_rescue_10,0,50,3
80,random_rescue_10,1,50,23
80,random_rescue_10,2,50,30
80,random_rescue_10,3,50,6
80,random_rescue_20,0,50,3
80,random_rescue_20,1,50,23
80,random_rescue_20,2,50,30
80,random_rescue_20,3,50,6
80,random_rescue_5,0,50,3
80,random_rescue_5,1,50,23
80,random_rescue_5,2,50,30
80,random_rescue_5,3,50,6
80,student,0,50,3
80,student,1,50,23
80,student,2,50,30
80,student,3,50,6
100,foreground_rescue_10,0,50,3
100,foreground_rescue_10,1,50,23
100,foreground_rescue_10,2,50,31
100,foreground_rescue_10,3,50,8
100,foreground_rescue_20,0,50,3
100,foreground_rescue_20,1,50,23
100,foreground_rescue_20,2,50,31
100,foreground_rescue_20,3,50,8
100,foreground_rescue_5,0,50,3
100,foreground_rescue_5,1,50,23
100,foreground_rescue_5,2,50,31
100,foreground_rescue_5,3,50,8
100,random,0,50,3
100,random,1,50,23
100,random,2,50,31
100,random,3,50,8
100,random_rescue_10,0,50,3
100,random_rescue_10,1,50,23
100,random_rescue_10,2,50,31
100,random_rescue_10,3,50,8
100,random_rescue_20,0,50,3
100,random_rescue_20,1,50,23
100,random_rescue_20,2,50,31
100,random_rescue_20,3,50,8
100,random_rescue_5,0,50,3
100,random_rescue_5,1,50,23
100,random_rescue_5,2,50,31
100,random_rescue_5,3,50,8
100,student,0,50,3
100,student,1,50,23
100,student,2,50,31
100,student,3,50,8
