mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.117538445,0.8328418,0.87,8.065,0.15061347,0.08126694
foreground_rescue_20,0.09067283,0.84520227,0.885,13.11,0.17747909,0.09362741
foreground_rescue_5,0.18014963,0.78636175,0.815,4.395,0.08800228,0.034786895
random,0.16123016,0.7669298,0.795,0.0,0.10692175,0.015354875
random_rescue_10,0.1892955,0.78264284,0.82,8.065,0.07885641,0.031067941
random_rescue_20,0.15539648,0.789227,0.815,13.11,0.11275543,0.037652098
random_rescue_5,0.23623379,0.7615943,0.79,4.395,0.031918127,0.010019404
student,0.2681519,0.7515749,0.78,0.0,0.0,0.0
