mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.08001876,0.86522204,0.91,8.135,0.050032366,0.060527258
foreground_rescue_20,0.06880399,0.8692755,0.925,12.98,0.061247144,0.06458076
foreground_rescue_5,0.07431415,0.8534469,0.91,4.57,0.05573698,0.048752125
random,0.05032505,0.84012854,0.9,0.0,0.07972608,0.03543385
random_rescue_10,0.11489069,0.8142886,0.855,8.135,0.0151604405,0.009593934
random_rescue_20,0.07158866,0.81902814,0.855,12.98,0.05846248,0.014333402
random_rescue_5,0.13328,0.80936486,0.845,4.57,-0.0032288684,0.0046701184
student,0.13005112,0.8046948,0.845,0.0,0.0,0.0
