epoch,mask_method,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
20,random,0.0,0.905,0.54,0.39,0.05032505,0.045,0.029194003,0.84012854,0.9,0.055790834,0.02433587,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
20,random_rescue_10,9.015,0.905,0.54,0.39,0.08273492,0.06,0.057781916,0.81154066,0.865,0.023380963,-0.0042520403,0.23336735,0.7666326,0.47526643,0.22895409,0.5207663,44.875
20,random_rescue_20,14.925,0.905,0.54,0.39,0.12738958,0.09,0.051574294,0.81774825,0.855,-0.021273697,0.0019555837,0.23693877,0.7630612,0.46775016,0.22895409,0.52768064,44.875
20,random_rescue_5,4.855,0.905,0.54,0.39,0.10256865,0.07,0.049844332,0.8194782,0.865,0.0035472363,0.0036855424,0.23193878,0.7680612,0.47903174,0.22895409,0.51822674,44.875
20,student,0.0,0.905,0.54,0.39,0.106115885,0.075,0.053529873,0.8157927,0.87,0.0,0.0,0.2325,0.7675,0.47633445,0.22895409,0.520045,44.875
40,foreground_rescue_10,8.45,0.905,0.58,0.34,0.07755081,0.065,0.015926471,0.8533962,0.9,0.0063863616,0.039786734,0.35438773,0.64561224,0.16629523,0.22895409,0.778765,44.875
40,foreground_rescue_20,13.375,0.905,0.58,0.34,0.07084861,0.05,0.008261402,0.86106116,0.915,0.013088566,0.0474518,0.40464288,0.5953571,0.07286033,0.22895409,0.8587126,44.875
40,foreground_rescue_5,4.735,0.905,0.58,0.34,0.056710545,0.03,0.022434406,0.8468882,0.895,0.027226632,0.033278797,0.3164796,0.68352044,0.2575165,0.22895409,0.7050836,44.875
40,random,0.0,0.905,0.58,0.34,0.05032505,0.045,0.029194003,0.84012854,0.9,0.03361213,0.026519202,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
40,random_rescue_10,8.45,0.905,0.58,0.34,0.09212631,0.065,0.057735395,0.8115872,0.84,-0.00818914,-0.0020221926,0.26239794,0.737602,0.40635222,0.22895409,0.5861456,44.875
40,random_rescue_20,13.375,0.905,0.58,0.34,0.08418309,0.085,0.048115302,0.8212073,0.85,-0.00024591302,0.007597902,0.26469386,0.7353061,0.40194935,0.22895409,0.59141743,44.875
40,random_rescue_5,4.735,0.905,0.58,0.34,0.100154646,0.065,0.054504026,0.81481856,0.85,-0.016217472,0.0012091743,0.26566327,0.7343367,0.40081707,0.22895409,0.59201,44.875
40,student,0.0,0.905,0.58,0.34,0.083937176,0.06,0.0557132,0.81360936,0.845,0.0,0.0,0.26816326,0.7318367,0.39340323,0.22895409,0.5982072,44.875
60,foreground_rescue_10,8.245,0.905,0.585,0.335,0.059923064,0.06,0.008387571,0.860935,0.905,0.050292775,0.05809428,0.3540306,0.6459694,0.17547303,0.22895409,0.77417475,44.875
60,foreground_rescue_20,13.13,0.905,0.585,0.335,0.06564725,0.045,0.002519478,0.8668031,0.92,0.044568587,0.06396237,0.40387756,0.59612244,0.07947933,0.22895409,0.8529379,44.875
60,foreground_rescue_5,4.6,0.905,0.585,0.335,0.08242052,0.055,0.036667265,0.8326553,0.87,0.027795317,0.02981459,0.31683674,0.6831633,0.26334465,0.22895409,0.7016893,44.875
60,random,0.0,0.905,0.585,0.335,0.05032505,0.045,0.029194003,0.84012854,0.9,0.059890784,0.03728785,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
60,random_rescue_10,8.245,0.905,0.585,0.335,0.084408805,0.065,0.062307134,0.8070155,0.84,0.025807025,0.0041747177,0.26382652,0.73617345,0.4064241,0.22895409,0.58594173,44.875
60,random_rescue_20,13.13,0.905,0.585,0.335,0.11253901,0.07,0.056197632,0.8131249,0.845,-0.002323172,0.010284215,0.26433674,0.7356633,0.40244997,0.22895409,0.5890318,44.875
60,random_rescue_5,4.6,0.905,0.585,0.335,0.11864157,0.08,0.07296665,0.79635596,0.825,-0.008425728,-0.006484798,0.26535714,0.73464286,0.40365863,0.22895409,0.58906513,44.875
60,student,0.0,0.905,0.585,0.335,0.110215835,0.06,0.06648185,0.8028407,0.845,0.0,0.0,0.26989797,0.730102,0.39402354,0.22895409,0.59830356,44.875
80,foreground_rescue_10,8.345,0.905,0.56,0.36,0.045178913,0.035,0.011650345,0.8576723,0.9,0.061755568,0.04104023,0.34392858,0.6560714,0.19173847,0.22895409,0.7544272,44.875
