mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.060398664,0.85840243,0.905,8.345,0.034076165,0.04252415
foreground_rescue_20,0.06451148,0.8666118,0.915,13.565,0.029963352,0.050733536
foreground_rescue_5,0.07543928,0.8370207,0.89,4.62,0.019035546,0.021142475
random,0.05032505,0.84012854,0.9,0.0,0.044149775,0.024250306
random_rescue_10,0.09974186,0.82442874,0.86,8.345,-0.0052670306,0.008550448
random_rescue_20,0.0849026,0.81960046,0.865,13.565,0.0095722275,0.0037221732
random_rescue_5,0.084764756,0.8255435,0.87,4.62,0.009710073,0.009665223
student,0.09447482,0.8158783,0.86,0.0,0.0,0.0
