mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.09714844,0.8470077,0.88,9.025,0.08988942,0.050892875
foreground_rescue_20,0.080845706,0.8674369,0.91,14.94,0.10619215,0.07132211
foreground_rescue_5,0.12317597,0.8215209,0.86,4.785,0.06386188,0.025406146
random,0.05032505,0.84012854,0.9,0.0,0.1367128,0.044013802
random_rescue_10,0.15566546,0.80908656,0.85,9.025,0.0313724,0.012971712
random_rescue_20,0.121009156,0.8199596,0.87,14.94,0.06602869,0.023844786
random_rescue_5,0.18263048,0.79858124,0.83,4.785,0.004407365,0.002466419
student,0.18703786,0.7961148,0.84,0.0,0.0,0.0
