epoch,mask_method,group,count,sum
60,random_rescue_20,1,50,28
60,random_rescue_20,2,50,34
60,random_rescue_20,3,50,3
60,random_rescue_5,0,50,2
60,random_rescue_5,1,50,28
60,random_rescue_5,2,50,34
60,random_rescue_5,3,50,3
60,student,0,50,2
60,student,1,50,28
60,student,2,50,34
60,student,3,50,3
80,foreground_rescue_10,0,50,0
80,foreground_rescue_10,1,50,25
80,foreground_rescue_10,2,50,38
80,foreground_rescue_10,3,50,6
80,foreground_rescue_20,0,50,0
80,foreground_rescue_20,1,50,25
80,foreground_rescue_20,2,50,38
80,foreground_rescue_20,3,50,6
80,foreground_rescue_5,0,50,0
80,foreground_rescue_5,1,50,25
80,foreground_rescue_5,2,50,38
80,foreground_rescue_5,3,50,6
80,random,0,50,0
80,random,1,50,25
80,random,2,50,38
80,random,3,50,6
80,random_rescue_10,0,50,0
80,random_rescue_10,1,50,25
80,random_rescue_10,2,50,38
80,random_rescue_10,3,50,6
80,random_rescue_20,0,50,0
80,random_rescue_20,1,50,25
80,random_rescue_20,2,50,38
80,random_rescue_20,3,50,6
80,random_rescue_5,0,50,0
80,random_rescue_5,1,50,25
80,random_rescue_5,2,50,38
80,random_rescue_5,3,50,6
80,student,0,50,0
80,student,1,50,25
80,student,2,50,38
80,student,3,50,6
100,foreground_rescue_10,0,50,0
100,foreground_rescue_10,1,50,22
100,foreground_rescue_10,2,50,38
100,foreground_rescue_10,3,50,8
100,foreground_rescue_20,0,50,0
100,foreground_rescue_20,1,50,22
100,foreground_rescue_20,2,50,38
100,foreground_rescue_20,3,50,8
100,foreground_rescue_5,0,50,0
100,foreground_rescue_5,1,50,22
100,foreground_rescue_5,2,50,38
100,foreground_rescue_5,3,50,8
100,random,0,50,0
100,random,1,50,22
100,random,2,50,38
100,random,3,50,8
100,random_rescue_10,0,50,0
100,random_rescue_10,1,50,22
100,random_rescue_10,2,50,38
100,random_rescue_10,3,50,8
100,random_rescue_20,0,50,0
100,random_rescue_20,1,50,22
100,random_rescue_20,2,50,38
100,random_rescue_20,3,50,8
100,random_rescue_5,0,50,0
100,random_rescue_5,1,50,22
100,random_rescue_5,2,50,38
100,random_rescue_5,3,50,8
100,student,0,50,0
100,student,1,50,22
100,student,2,50,38
100,student,3,50,8
