epoch,mask_method,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
20,random,0.0,0.905,0.55,0.38,0.05032505,0.045,0.029194003,0.84012854,0.9,0.08147769,0.03701601,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
20,random_rescue_10,8.965,0.905,0.55,0.38,0.099268764,0.06,0.05757415,0.81174845,0.865,0.03253398,0.008635866,0.23209184,0.76790816,0.47986484,0.22895409,0.5204924,44.875
20,random_rescue_20,14.965,0.905,0.55,0.38,0.12339733,0.09,0.06861441,0.8007082,0.835,0.008405412,-0.0024043983,0.2340306,0.7659694,0.47655225,0.22895409,0.5258227,44.875
20,random_rescue_5,4.81,0.905,0.55,0.38,0.14111046,0.09,0.067464605,0.801858,0.835,-0.009307728,-0.0012545893,0.22897959,0.7710204,0.48625985,0.22895409,0.5150976,44.875
20,student,0.0,0.905,0.55,0.38,0.13180274,0.09,0.06621002,0.80311257,0.845,0.0,0.0,0.22892857,0.7710714,0.48658493,0.22895409,0.515466,44.875
40,foreground_rescue_10,8.51,0.905,0.57,0.35,0.094837144,0.065,0.010348147,0.85897446,0.9,0.06856743,0.04794078,0.33290818,0.66709185,0.21180588,0.22895409,0.74107516,44.875
40,foreground_rescue_20,13.935,0.905,0.57,0.35,0.07340179,0.05,-0.0010882003,0.87041074,0.915,0.090002775,0.059377126,0.3882653,0.6117347,0.10054187,0.22895409,0.83443314,44.875
40,foreground_rescue_5,4.655,0.905,0.57,0.35,0.10076818,0.06,0.022649849,0.8466728,0.895,0.06263639,0.035639077,0.29357144,0.7064286,0.31081745,0.22895409,0.6602816,44.875
40,random,0.0,0.905,0.57,0.35,0.05032505,0.045,0.029194003,0.84012854,0.9,0.11307952,0.029094925,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
40,random_rescue_10,8.51,0.905,0.57,0.35,0.13993976,0.08,0.05613046,0.8131921,0.855,0.02346481,0.002158466,0.24632652,0.7536735,0.44620362,0.22895409,0.55267644,44.875
40,random_rescue_20,13.935,0.905,0.57,0.35,0.100174144,0.06,0.041660383,0.8276622,0.885,0.063230425,0.016628545,0.2484694,0.7515306,0.44338748,0.22895409,0.55508107,44.875
40,random_rescue_5,4.655,0.905,0.57,0.35,0.14255634,0.08,0.05901957,0.81030303,0.855,0.020848239,-0.00073064206,0.245,0.755,0.44805238,0.22895409,0.5502482,44.875
40,student,0.0,0.905,0.57,0.35,0.16340455,0.085,0.058288928,0.8110336,0.86,0.0,0.0,0.24607143,0.7539286,0.44564602,0.22895409,0.55279696,44.875
60,foreground_rescue_10,8.87,0.905,0.585,0.335,0.08410566,0.055,0.012554544,0.856768,0.9,0.05865904,0.04391793,0.3309694,0.6690306,0.21365766,0.22895409,0.73756677,44.875
60,foreground_rescue_20,14.505,0.905,0.585,0.335,0.073202655,0.05,0.0028666502,0.8664559,0.915,0.06956205,0.053605825,0.3884694,0.6115306,0.09876071,0.22895409,0.8335111,44.875
60,foreground_rescue_5,4.76,0.905,0.585,0.335,0.10295609,0.065,0.02361296,0.8457096,0.89,0.03980862,0.032859515,0.2890306,0.7109694,0.32158363,0.22895409,0.6510208,44.875
60,random,0.0,0.905,0.585,0.335,0.05032505,0.045,0.029194003,0.84012854,0.9,0.09243966,0.027278474,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
60,random_rescue_10,8.87,0.905,0.585,0.335,0.12542112,0.075,0.045876592,0.823446,0.87,0.01734359,0.01059588,0.24015306,0.7598469,0.4625004,0.22895409,0.53636086,44.875
60,random_rescue_20,14.505,0.905,0.585,0.335,0.08813362,0.055,0.035690103,0.8336325,0.88,0.05463109,0.020782374,0.24357143,0.7564286,0.45312798,0.22895409,0.5431857,44.875
60,random_rescue_5,4.76,0.905,0.585,0.335,0.14616707,0.085,0.056280393,0.8130422,0.86,-0.0034023551,0.0001920842,0.23969387,0.7603061,0.46480656,0.22895409,0.5361853,44.875
60,student,0.0,0.905,0.585,0.335,0.14276472,0.07,0.056472473,0.8128501,0.855,0.0,0.0,0.24045917,0.7595408,0.46059313,0.22895409,0.5395004,44.875
