mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.093065225,0.8359247,0.88,9.01,0.17263897,0.084077455
foreground_rescue_20,0.04858403,0.85365057,0.89,15.205,0.21712017,0.10180335
foreground_rescue_5,0.1529689,0.8003639,0.82,4.75,0.11273531,0.048516635
random,0.1474871,0.79807913,0.835,0.0,0.118217096,0.046231855
random_rescue_10,0.23468643,0.7697091,0.79,9.01,0.031017764,0.017861811
random_rescue_20,0.20569466,0.77450776,0.8,15.205,0.060009535,0.022660494
random_rescue_5,0.23257847,0.7551976,0.805,4.75,0.033125743,0.0033503016
student,0.26570418,0.7518473,0.79,0.0,0.0,0.0
