epoch,mask_method,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
20,random,0.0,0.91,0.54,0.39,0.1474871,0.085,0.07194288,0.79807913,0.835,-0.028180828,-0.0060211443,0.22377552,0.7762245,0.49917153,0.22364795,0.5000727,43.835
20,random_rescue_10,8.25,0.91,0.54,0.39,0.10368643,0.07,0.05626362,0.8137584,0.86,0.015619852,0.009658119,0.26137754,0.7386224,0.41099495,0.22364795,0.586152,43.835
20,random_rescue_20,13.08,0.91,0.54,0.39,0.17744103,0.1,0.07672197,0.79330003,0.83,-0.05813475,-0.010800235,0.25969386,0.7403061,0.4115013,0.22364795,0.58493596,43.835
20,random_rescue_5,4.49,0.91,0.54,0.39,0.11431896,0.08,0.062419895,0.8076021,0.85,0.004987314,0.0035018434,0.26387754,0.7361224,0.40762627,0.22364795,0.5871855,43.835
20,student,0.0,0.91,0.54,0.39,0.11930628,0.09,0.06592174,0.8041003,0.84,0.0,0.0,0.2652551,0.73474485,0.40640792,0.22364795,0.58981913,43.835
40,foreground_rescue_10,8.735,0.91,0.525,0.405,0.09396828,0.08,0.022926822,0.8470952,0.89,0.1338445,0.07377774,0.32209182,0.6779082,0.22253136,0.22364795,0.7281118,43.835
40,foreground_rescue_20,14.465,0.91,0.525,0.405,0.068277046,0.055,0.019084902,0.8509371,0.885,0.1595357,0.077619664,0.38056123,0.61943877,0.10048797,0.22364795,0.82982713,43.835
40,foreground_rescue_5,4.755,0.91,0.525,0.405,0.15000181,0.085,0.05291135,0.81711066,0.865,0.07781096,0.04379322,0.2814796,0.7185204,0.32647067,0.22364795,0.64273256,43.835
40,random,0.0,0.91,0.525,0.405,0.1474871,0.085,0.07194288,0.79807913,0.835,0.08032566,0.024761684,0.22377552,0.7762245,0.49917153,0.22364795,0.5000727,43.835
40,random_rescue_10,8.735,0.91,0.525,0.405,0.1496448,0.09,0.07502815,0.7949939,0.84,0.07816796,0.021676421,0.23147959,0.7685204,0.47161895,0.22364795,0.52506524,43.835
40,random_rescue_20,14.465,0.91,0.525,0.405,0.15396918,0.12,0.074779674,0.7952423,0.82,0.073843576,0.021924889,0.23602042,0.76397955,0.45785245,0.22364795,0.53924185,43.835
40,random_rescue_5,4.755,0.91,0.525,0.405,0.2011921,0.115,0.08872074,0.78130126,0.815,0.026620675,0.007983829,0.23183674,0.7681633,0.47106674,0.22364795,0.5274577,43.835
40,student,0.0,0.91,0.525,0.405,0.22781277,0.135,0.09670457,0.7733174,0.805,0.0,0.0,0.23295918,0.7670408,0.4696707,0.22364795,0.528628,43.835
60,foreground_rescue_10,8.755,0.91,0.57,0.365,0.11247383,0.075,0.04968009,0.82034194,0.855,0.17154968,0.07045465,0.31841838,0.6815817,0.23035973,0.22364795,0.71763444,43.835
60,foreground_rescue_20,14.75,0.91,0.57,0.365,0.044346042,0.035,0.025044937,0.844977,0.885,0.23967747,0.0950898,0.37959182,0.6204082,0.09806455,0.22364795,0.8310396,43.835
60,foreground_rescue_5,4.665,0.91,0.57,0.365,0.13646308,0.085,0.069003746,0.8010183,0.835,0.14756045,0.051130995,0.2766837,0.7233164,0.34066457,0.22364795,0.6299018,43.835
60,random,0.0,0.91,0.57,0.365,0.1474871,0.085,0.07194288,0.79807913,0.835,0.13653642,0.048191853,0.22377552,0.7762245,0.49917153,0.22364795,0.5000727,43.835
60,random_rescue_10,8.755,0.91,0.57,0.365,0.2507782,0.145,0.11171323,0.75830877,0.785,0.033245314,0.008421507,0.23020409,0.7697959,0.47570315,0.22364795,0.5210243,43.835
60,random_rescue_20,14.75,0.91,0.57,0.365,0.19020475,0.105,0.08540218,0.7846198,0.825,0.09381876,0.034732558,0.23464286,0.76535714,0.46109143,0.22364795,0.5334341,43.835
60,random_rescue_5,4.665,0.91,0.57,0.365,0.23544496,0.125,0.1006978,0.7693242,0.815,0.048578545,0.019436933,0.2287245,0.77127546,0.4816249,0.22364795,0.51660675,43.835
60,student,0.0,0.91,0.57,0.365,0.28402352,0.16,0.12013473,0.7498872,0.77,0.0,0.0,0.22908163,0.77091837,0.48172188,0.22364795,0.5168583,43.835
80,foreground_rescue_10,8.99,0.91,0.585,0.35,0.08310949,0.055,0.04551634,0.8245057,0.875,0.16308542,0.078521274,0.30163264,0.6983673,0.26228118,0.22364795,0.6894246,43.835
80,foreground_rescue_20,15.195,0.91,0.585,0.35,0.10598514,0.08,0.03793136,0.8320906,0.87,0.14020978,0.086106256,0.364949,0.635051,0.1227148,0.22364795,0.8070158,43.835
80,foreground_rescue_5,4.765,0.91,0.585,0.35,0.11874264,0.09,0.054954853,0.8150671,0.86,0.12745228,0.06908276,0.25852042,0.7414796,0.3799617,0.22364795,0.59206575,43.835
80,random,0.0,0.91,0.585,0.35,0.1474871,0.085,0.07194288,0.79807913,0.835,0.09870782,0.05209473,0.22377552,0.7762245,0.49917153,0.22364795,0.5000727,43.835
80,random_rescue_10,8.99,0.91,0.585,0.35,0.21443546,0.135,0.09784911,0.7721729,0.805,0.031759452,0.026188504,0.21607143,0.78392863,0.5100295,0.22364795,0.48855984,43.835
80,random_rescue_20,15.195,0.91,0.585,0.35,0.2013182,0.115,0.0893642,0.7806578,0.805,0.04487673,0.03467341,0.22071429,0.7792857,0.5019905,0.22364795,0.49670666,43.835
80,random_rescue_5,4.765,0.91,0.585,0.35,0.2382545,0.155,0.12414591,0.7458761,0.765,0.007940424,-0.000108299406,0.21045919,0.78954077,0.5236261,0.22364795,0.47549844,43.835
80,student,0.0,0.91,0.585,0.35,0.24619493,0.155,0.12403761,0.74598444,0.765,0.0,0.0,0.20989795,0.790102,0.5255631,0.22364795,0.47415268,43.835
100,foreground_rescue_10,9.01,0.91,0.58,0.355,0.093065225,0.06,0.034097284,0.8359247,0.88,0.17263897,0.084077455,0.30423468,0.6957653,0.2572914,0.22364795,0.6928395,43.835
100,foreground_rescue_20,15.205,0.91,0.58,0.355,0.04858403,0.05,0.016371386,0.85365057,0.89,0.21712017,0.10180335,0.367449,0.632551,0.11776839,0.22364795,0.8096001,43.835
100,foreground_rescue_5,4.75,0.91,0.58,0.355,0.1529689,0.11,0.0696581,0.8003639,0.82,0.11273531,0.048516635,0.2607653,0.7392347,0.37657437,0.22364795,0.5945637,43.835
100,random,0.0,0.91,0.58,0.355,0.1474871,0.085,0.07194288,0.79807913,0.835,0.118217096,0.046231855,0.22377552,0.7762245,0.49917153,0.22364795,0.5000727,43.835
100,random_rescue_10,9.01,0.91,0.58,0.355,0.23468643,0.16,0.100312926,0.7697091,0.79,0.031017764,0.017861811,0.21826531,0.7817347,0.50681734,0.22364795,0.49189794,43.835
100,random_rescue_20,15.205,0.91,0.58,0.355,0.20569466,0.12,0.09551424,0.77450776,0.8,0.060009535,0.022660494,0.22260204,0.77739793,0.4950256,0.22364795,0.50427425,43.835
100,random_rescue_5,4.75,0.91,0.58,0.355,0.23257847,0.115,0.11482444,0.7551976,0.805,0.033125743,0.0033503016,0.21571428,0.7842857,0.51054025,0.22364795,0.48700425,43.835
100,student,0.0,0.91,0.58,0.355,0.26570418,0.14,0.11817473,0.7518473,0.79,0.0,0.0,0.21229592,0.7877041,0.5216036,0.22364795,0.47754392,43.835
