mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.11292755,0.8171724,0.86,8.94,0.206463,0.07100764
foreground_rescue_20,0.085320204,0.84353447,0.88,14.96,0.23407035,0.09736974
foreground_rescue_5,0.18552908,0.79722196,0.835,4.77,0.13386145,0.05105725
random,0.1474871,0.79807913,0.835,0.0,0.17190343,0.051914357
random_rescue_10,0.2479204,0.7698465,0.81,8.94,0.071470134,0.023681719
random_rescue_20,0.22268242,0.76752126,0.795,14.96,0.09670812,0.021356542
random_rescue_5,0.31536758,0.75254226,0.785,4.77,0.0040229512,0.006377507
student,0.31939054,0.7461648,0.78,0.0,0.0,0.0
