mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.05100839,0.8604187,0.9,8.49,0.050744534,0.044699375
foreground_rescue_20,0.0608965,0.8755081,0.93,13.685,0.040856417,0.059788812
foreground_rescue_5,0.058324333,0.8483767,0.895,4.66,0.043428592,0.0326574
random,0.05032505,0.84012854,0.9,0.0,0.051427875,0.024409285
random_rescue_10,0.11473992,0.81170005,0.85,8.49,-0.012986992,-0.00401922
random_rescue_20,0.090159036,0.8195057,0.86,13.685,0.011593888,0.0037863534
random_rescue_5,0.096529014,0.8196507,0.865,4.66,0.0052239047,0.0039314614
student,0.10175292,0.8157193,0.86,0.0,0.0,0.0
