method,reference,paired_seeds,mean_wga_delta,std_wga_delta
ce,student,3,0.004672897196261683,0.016484431844639196
full,student,3,0.016614745586708207,0.0427238246670212
random,student,3,0.0031152647975077885,0.025067721089456516
foreground_rescue_5,student,3,0.0181723779854621,0.027703679277163242
foreground_rescue_10,student,3,0.017133956386292837,0.02833863769261722
foreground_rescue_20,student,3,0.023883696780893044,0.04148491039551024
random_rescue_10,student,3,0.005711318795430946,0.03969161963367891
