mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.10882149,0.8351105,0.875,8.285,0.11594152,0.05794135
foreground_rescue_20,0.08446684,0.84781456,0.895,13.71,0.14029616,0.07064539
foreground_rescue_5,0.13434854,0.81417745,0.85,4.565,0.09041448,0.037008367
random,0.16123016,0.7669298,0.795,0.0,0.06353284,-0.010239384
random_rescue_10,0.20272171,0.7814924,0.815,8.285,0.022041302,0.004323273
random_rescue_20,0.16769165,0.7854168,0.82,13.71,0.05707135,0.008247671
random_rescue_5,0.20047943,0.7806443,0.81,4.565,0.024283571,0.0034751452
student,0.224763,0.7771691,0.81,0.0,0.0,0.0
