mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.11369636,0.83172196,0.875,8.71,0.13245566,0.069378234
foreground_rescue_20,0.06266683,0.84682745,0.885,14.395,0.18348521,0.08448369
foreground_rescue_5,0.17220414,0.8036594,0.84,4.72,0.073947884,0.041315645
random,0.1474871,0.79807913,0.835,0.0,0.098664925,0.035735372
random_rescue_10,0.19740933,0.78381,0.815,8.71,0.048742697,0.0214663
random_rescue_20,0.18082467,0.7942676,0.835,14.395,0.065327376,0.031923816
random_rescue_5,0.2779677,0.76076484,0.795,4.72,-0.03181567,-0.001578933
student,0.24615201,0.76234376,0.79,0.0,0.0,0.0
