epoch,mask_method,group,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,student,0,0.0,1.0,0.0,1.0,0.001409994,0.0,-0.0048919637,0.96025825,1.0,0.0,0.0,0.19319728,0.80680275,0.48491648,0.19081633,0.5007074,37.4
0,student,1,0.0,1.0,0.0,1.0,0.14539173,0.06666667,0.06881192,0.8716477,0.93333334,0.0,0.0,0.20238096,0.79761904,0.41825235,0.16972789,0.5658701,33.266666666666666
0,student,2,0.0,1.0,0.0,1.0,1.034842,0.5,0.428478,0.50197965,0.5,0.0,0.0,0.230017,0.769983,0.58300954,0.2744473,0.4259819,53.791666666666664
0,student,3,0.0,1.0,0.0,1.0,0.33685482,0.22222222,0.15554877,0.77183884,0.7777778,0.0,0.0,0.20975058,0.79024947,0.54080105,0.22704083,0.46124595,44.5
5,foreground_rescue_10,0,6.833333333333333,1.0,0.0,1.0,0.0027519057,0.0,-0.009655029,0.9596891,1.0,0.30400148,0.13671017,0.29081634,0.7091837,0.17191525,0.18197279,0.7916996,35.666666666666664
5,foreground_rescue_10,1,5.0,1.0,0.0,1.0,0.046103653,0.027027028,0.019812752,0.9235481,0.972973,0.117855884,0.053008202,0.32487592,0.6751241,0.067175254,0.18091561,0.8882612,35.45945945945946
5,foreground_rescue_10,2,8.702702702702704,1.0,0.0,1.0,0.07304503,0.08108108,0.059084248,0.85942936,0.9189189,0.23263885,0.10991152,0.40595698,0.594043,0.18671274,0.26254827,0.76781565,51.45945945945946
5,foreground_rescue_10,3,8.0,1.0,0.0,1.0,0.061015185,0.125,0.063121624,0.88032556,0.875,0.28138265,0.061300978,0.2755102,0.7244898,0.23219323,0.19323981,0.7219115,37.875
5,foreground_rescue_20,0,12.166666666666666,1.0,0.0,1.0,0.00092478585,0.0,0.0011066099,0.9489274,1.0,0.3058286,0.12594853,0.3452381,0.6547619,0.033496726,0.18197279,0.92102456,35.666666666666664
5,foreground_rescue_20,1,6.756756756756757,1.0,0.0,1.0,0.03763095,0.027027028,0.011998866,0.931362,0.972973,0.12632859,0.06082209,0.342802,0.657198,0.027038472,0.18091561,0.9200059,35.45945945945946
