mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.09016453,0.83021414,0.88,8.825,0.18609688,0.08437313
foreground_rescue_20,0.065283865,0.83877873,0.88,14.415,0.21097755,0.09293777
foreground_rescue_5,0.16938314,0.7857045,0.82,4.74,0.10687827,0.03986351
random,0.1474871,0.79807913,0.835,0.0,0.12877432,0.052238118
random_rescue_10,0.22699301,0.7688079,0.81,8.825,0.049268417,0.022966867
random_rescue_20,0.22377694,0.77388376,0.805,14.415,0.052484483,0.028042715
random_rescue_5,0.25929672,0.7624349,0.78,4.74,0.016964702,0.016593896
student,0.27626142,0.74584097,0.76,0.0,0.0,0.0
