mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.051122602,0.8557139,0.895,8.605,0.06272838,0.057061896
foreground_rescue_20,0.041252293,0.8702429,0.925,14.62,0.0725987,0.071590975
foreground_rescue_5,0.07539203,0.83874667,0.88,4.67,0.038458966,0.040094644
random,0.05032505,0.84012854,0.9,0.0,0.063525945,0.04147662
random_rescue_10,0.09536389,0.8132119,0.855,8.605,0.018487094,0.01455995
random_rescue_20,0.07156329,0.8226035,0.86,14.62,0.042287696,0.023951529
random_rescue_5,0.07959891,0.82184196,0.86,4.67,0.034252085,0.023189962
student,0.113850996,0.79865193,0.835,0.0,0.0,0.0
