mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.03012049,0.8362642,0.875,8.635,0.05809603,0.014029826
foreground_rescue_20,0.059788585,0.85119176,0.89,14.275,0.028427927,0.028957415
foreground_rescue_5,0.055138674,0.84004724,0.885,4.725,0.033077843,0.01781282
random,0.16123016,0.7669298,0.795,0.0,-0.073013656,-0.055304646
random_rescue_10,0.11811249,0.8068586,0.845,8.635,-0.02989597,-0.015375809
random_rescue_20,0.09199753,0.80408686,0.845,14.275,-0.0037810155,-0.018147547
random_rescue_5,0.07705865,0.8203499,0.86,4.725,0.011157862,-0.0018845319
student,0.08821651,0.8222344,0.865,0.0,0.0,0.0
