epoch,final_spearman,previous_spearman,topk_final_overlap,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,0.03284393845065285,,0.5087755102040816,0.21362245,0.78637755,0.5261516,0.22364795,0.47468933,43.835
1,0.1458374431443173,0.26179925188097064,0.5554081632653061,0.21403061,0.7859694,0.5436036,0.22364795,0.46371272,43.835
2,0.18554179773240542,0.8874588582240875,0.575,0.21744898,0.78255105,0.5284249,0.22364795,0.47850114,43.835
3,0.2389490719527233,0.6198598733159016,0.6011734693877551,0.25841838,0.7415817,0.41068906,0.22364795,0.58675575,43.835
4,0.26184853652511375,0.8406442672624103,0.6051530612244898,0.2715306,0.7284694,0.37897563,0.22364795,0.6148437,43.835
5,0.289303457793399,0.8796068877581982,0.6130612244897959,0.2647959,0.7352041,0.39534813,0.22364795,0.6011885,43.835
6,0.32236931523878587,0.89495681069212,0.6237755102040816,0.27321428,0.7267857,0.37689534,0.22364795,0.618213,43.835
7,0.3605895974946012,0.9438172349767708,0.6372448979591837,0.27045918,0.72954077,0.3773369,0.22364795,0.61674905,43.835
8,0.355203244905928,0.6164174230410634,0.6394387755102041,0.23709182,0.76290816,0.46477333,0.22364795,0.53531706,43.835
9,0.41856951605319986,0.7396248117364869,0.662142857142857,0.2589796,0.74102044,0.4028636,0.22364795,0.59432346,43.835
10,0.4386063488429673,0.8241566371008111,0.6720918367346939,0.2469898,0.75301015,0.4352145,0.22364795,0.5629513,43.835
11,0.4191546031923117,0.8657577135945393,0.6601020408163265,0.2614796,0.73852044,0.40784532,0.22364795,0.5885002,43.835
12,0.4245462015680901,0.7812583261232473,0.6669897959183673,0.2575,0.7425,0.4047909,0.22364795,0.5894963,43.835
13,0.43256007366595317,0.8714576787921472,0.67,0.25346938,0.7465306,0.41866338,0.22364795,0.57502186,43.835
14,0.429231478456279,0.882591790873476,0.6649489795918367,0.2614796,0.73852044,0.401053,0.22364795,0.59119636,43.835
15,0.4553164191403768,0.8068028251185316,0.6762244897959184,0.25663266,0.7433673,0.40725958,0.22364795,0.583614,43.835
16,0.4524587544878442,0.7833339426576843,0.6731122448979592,0.27423468,0.7257653,0.37335855,0.22364795,0.6181804,43.835
