mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.11044379,0.82383186,0.855,8.575,0.07496379,0.033756383
foreground_rescue_20,0.09656241,0.84205073,0.885,13.815,0.08884518,0.051975217
foreground_rescue_5,0.0974071,0.81660444,0.85,4.7,0.08800049,0.026528971
random,0.16123016,0.7669298,0.795,0.0,0.024177423,-0.023145733
random_rescue_10,0.1867278,0.78911215,0.835,8.575,-0.0013202259,-0.00096334785
random_rescue_20,0.15317786,0.7831244,0.815,13.815,0.032229733,-0.0069510858
random_rescue_5,0.16673818,0.78551567,0.815,4.7,0.018669391,-0.004559793
student,0.18540758,0.7900755,0.83,0.0,0.0,0.0
