mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.055983085,0.8586112,0.91,7.985,0.052800532,0.05050712
foreground_rescue_20,0.05335307,0.8647692,0.91,12.73,0.055430546,0.056665137
foreground_rescue_5,0.092290595,0.8333498,0.875,4.495,0.01649302,0.025245743
random,0.05032505,0.84012854,0.9,0.0,0.05845857,0.032024495
random_rescue_10,0.09316842,0.82517034,0.87,7.985,0.015615194,0.017066294
random_rescue_20,0.1012907,0.8121207,0.85,12.73,0.007492911,0.0040165647
random_rescue_5,0.11929042,0.80838525,0.86,4.495,-0.010506799,0.00028117077
student,0.10878362,0.8081041,0.84,0.0,0.0,0.0
