epoch,mask_method,group,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
0,student,2,0.0,0.9,0.0,0.9,0.31917417,0.2,0.14197579,0.7240233,0.78,0.0,0.0,0.24306121,0.75693876,0.5192196,0.25816327,0.48015362,50.6
0,student,3,0.0,1.0,0.04,0.96,0.005532965,0.0,0.016421378,0.9443036,1.0,0.0,0.0,0.24836735,0.7516327,0.484505,0.24836735,0.5108462,48.68
5,foreground_rescue_10,0,8.34,0.98,0.98,0.02,0.007952303,0.0,0.0071946466,0.9242176,0.98,0.06451396,0.005719819,0.32755104,0.67244893,0.16142268,0.20510204,0.77885556,40.2
5,foreground_rescue_10,1,8.64,0.74,0.34,0.46,0.29941392,0.2,0.07435765,0.6447964,0.66,0.022117352,0.09509692,0.31346938,0.6865306,0.17160213,0.20418367,0.77804536,40.02
5,foreground_rescue_10,2,8.44,0.9,0.2,0.72,0.08487899,0.08,0.039246537,0.82675254,0.86,0.06478142,0.06412248,0.3891837,0.6108163,0.19327605,0.25816327,0.7663767,50.6
5,foreground_rescue_10,3,8.44,1.0,0.8,0.2,0.0010886904,0.0,0.0058220816,0.9549029,1.0,0.01729507,0.012209146,0.3622449,0.6377551,0.22186808,0.24836735,0.7355196,48.68
5,foreground_rescue_20,0,13.14,0.98,0.98,0.02,0.02140839,0.02,0.020728765,0.91068345,0.96,0.05105787,-0.0078143,0.37653062,0.6234694,0.0560549,0.20510204,0.8637711,40.2
5,foreground_rescue_20,1,13.26,0.74,0.34,0.46,0.20847498,0.14,-0.0041039316,0.72325796,0.76,0.11305631,0.1735585,0.36061227,0.6393877,0.066440605,0.20418367,0.8675808,40.02
5,foreground_rescue_20,2,13.92,0.9,0.2,0.72,0.06095496,0.06,-0.009904911,0.875904,0.92,0.08870545,0.113273926,0.44510204,0.55489796,0.102825396,0.25816327,0.83842546,50.6
5,foreground_rescue_20,3,14.4,1.0,0.8,0.2,0.0013485267,0.0,0.0064261043,0.95429885,1.0,0.017035233,0.011605123,0.42306122,0.5769388,0.100268036,0.24836735,0.8383827,48.68
5,foreground_rescue_5,0,4.62,0.98,0.98,0.02,0.029676687,0.04,0.020982383,0.91042984,0.94,0.042789575,-0.008067918,0.28959182,0.71040815,0.27137005,0.20510204,0.6936284,40.2
5,foreground_rescue_5,1,4.6,0.74,0.34,0.46,0.17904243,0.14,0.096566364,0.6225877,0.64,0.14248884,0.0728882,0.2722449,0.7277551,0.28740674,0.20418367,0.68142074,40.02
5,foreground_rescue_5,2,4.72,0.9,0.2,0.72,0.14339393,0.12,0.07256323,0.7934359,0.82,0.0062664794,0.030805783,0.35122448,0.64877546,0.27129525,0.25816327,0.7023558,50.6
5,foreground_rescue_5,3,4.62,1.0,0.8,0.2,0.02391608,0.02,0.019324329,0.9414006,0.98,-0.0055323206,-0.0012931013,0.3232653,0.6767347,0.3083073,0.24836735,0.66173846,48.68
5,random,0,0.0,0.98,0.98,0.02,0.007102007,0.0,-0.00022737235,0.9316396,0.98,0.06536426,0.013141838,0.20571429,0.7942857,0.50518996,0.20510204,0.49367753,40.2
