mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.12834965,0.8215187,0.84,8.445,0.092138834,0.03999806
foreground_rescue_20,0.0902068,0.8549761,0.885,13.855,0.13028167,0.07345543
foreground_rescue_5,0.12524766,0.8160492,0.85,4.615,0.09524083,0.034528524
random,0.16123016,0.7669298,0.795,0.0,0.059258312,-0.014590924
random_rescue_10,0.18241993,0.79600054,0.835,8.445,0.038068544,0.014479843
random_rescue_20,0.18516552,0.7886878,0.815,13.855,0.03532296,0.0071671586
random_rescue_5,0.18860243,0.78476715,0.81,4.615,0.031886045,0.00324651
student,0.22048847,0.78152066,0.815,0.0,0.0,0.0
