mask_method,correct,gt_probability,kl
student,0.8307692307692308,0.7828845063076922,0.2339788658305846
random_rescue_5,0.8923076923076924,0.8341596247692308,0.16025626339467386
foreground_rescue_5,0.9230769230769231,0.8647678736307692,0.1018747368780677
random_rescue_10,0.8923076923076924,0.8303795906153846,0.1601583182416154
foreground_rescue_10,0.9692307692307692,0.9057453353846153,0.04044676870890769
random_rescue_20,0.8923076923076924,0.8326345318769232,0.1528216464696611
foreground_rescue_20,0.9846153846153847,0.9149389215384615,0.041988041429316766
