method,best_epoch,test_accuracy,test_wga,worst_group,worst_group_correct,worst_group_count,wilson_95_low,wilson_95_high,train_weighted_accuracy
teacher,11,0.8879875733517432,0.7738359201773836,landbird_water,1745,2255,0.7561118613416683,0.7906285905733476,0.9762624291707065
foreground_rescue_5,42,0.608560579910252,0.21651090342679127,waterbird_land,139,642,0.18638790895902393,0.25000627876521464,0.8823370271970067
foreground_rescue_20,61,0.5875043148084225,0.2071651090342679,waterbird_land,133,642,0.17760229262714122,0.24021148370339096,0.8913384488734353
foreground_rescue_10,78,0.6042457714877459,0.20404984423676012,waterbird_land,131,642,0.17467925729786574,0.23694104856809764,0.8864797151971101
student,28,0.5780117362789092,0.20404984423676012,waterbird_land,131,642,0.17467925729786574,0.23694104856809764,0.8919326195715127
random,31,0.586468760787021,0.19937694704049844,waterbird_land,128,642,0.170300022536174,0.2320300776329362,0.8911113537485749
ce,56,0.5987228167069382,0.19003115264797507,waterbird_land,122,642,0.16156131927147338,0.2221883695039304,0.8918471943777966
full,3,0.5507421470486711,0.19003115264797507,waterbird_land,122,642,0.16156131927147338,0.2221883695039304,0.8478037643557869
random_rescue_10,50,0.59285467725233,0.19003115264797507,waterbird_land,122,642,0.16156131927147338,0.2221883695039304,0.8884022453381825
