epoch,mask_method,group,count,sum
0,foreground_rescue_10,0,50,0
0,foreground_rescue_10,1,50,1
0,foreground_rescue_10,2,50,45
0,foreground_rescue_10,3,50,48
0,foreground_rescue_20,0,50,0
0,foreground_rescue_20,1,50,1
0,foreground_rescue_20,2,50,45
0,foreground_rescue_20,3,50,48
0,foreground_rescue_5,0,50,0
0,foreground_rescue_5,1,50,1
0,foreground_rescue_5,2,50,45
0,foreground_rescue_5,3,50,48
0,random,0,50,0
0,random,1,50,1
0,random,2,50,45
0,random,3,50,48
0,random_rescue_10,0,50,0
0,random_rescue_10,1,50,1
0,random_rescue_10,2,50,45
0,random_rescue_10,3,50,48
0,random_rescue_20,0,50,0
0,random_rescue_20,1,50,1
0,random_rescue_20,2,50,45
0,random_rescue_20,3,50,48
0,random_rescue_5,0,50,0
0,random_rescue_5,1,50,1
0,random_rescue_5,2,50,45
0,random_rescue_5,3,50,48
0,student,0,50,0
0,student,1,50,1
0,student,2,50,45
0,student,3,50,48
5,foreground_rescue_10,0,50,2
5,foreground_rescue_10,1,50,28
5,foreground_rescue_10,2,50,33
5,foreground_rescue_10,3,50,8
5,foreground_rescue_20,0,50,2
5,foreground_rescue_20,1,50,28
5,foreground_rescue_20,2,50,33
5,foreground_rescue_20,3,50,8
5,foreground_rescue_5,0,50,2
5,foreground_rescue_5,1,50,28
5,foreground_rescue_5,2,50,33
5,foreground_rescue_5,3,50,8
5,random,0,50,2
5,random,1,50,28
5,random,2,50,33
5,random,3,50,8
5,random_rescue_10,0,50,2
5,random_rescue_10,1,50,28
5,random_rescue_10,2,50,33
5,random_rescue_10,3,50,8
5,random_rescue_20,0,50,2
5,random_rescue_20,1,50,28
5,random_rescue_20,2,50,33
5,random_rescue_20,3,50,8
5,random_rescue_5,0,50,2
5,random_rescue_5,1,50,28
5,random_rescue_5,2,50,33
5,random_rescue_5,3,50,8
5,student,0,50,2
5,student,1,50,28
5,student,2,50,33
5,student,3,50,8
10,foreground_rescue_10,0,50,2
10,foreground_rescue_10,1,50,28
10,foreground_rescue_10,2,50,37
10,foreground_rescue_10,3,50,4
10,foreground_rescue_20,0,50,2
10,foreground_rescue_20,1,50,28
10,foreground_rescue_20,2,50,37
10,foreground_rescue_20,3,50,4
10,foreground_rescue_5,0,50,2
10,foreground_rescue_5,1,50,28
10,foreground_rescue_5,2,50,37
10,foreground_rescue_5,3,50,4
10,random,0,50,2
10,random,1,50,28
10,random,2,50,37
10,random,3,50,4
10,random_rescue_10,0,50,2
10,random_rescue_10,1,50,28
10,random_rescue_10,2,50,37
10,random_rescue_10,3,50,4
10,random_rescue_20,0,50,2
10,random_rescue_20,1,50,28
10,random_rescue_20,2,50,37
10,random_rescue_20,3,50,4
10,random_rescue_5,0,50,2
10,random_rescue_5,1,50,28
10,random_rescue_5,2,50,37
10,random_rescue_5,3,50,4
10,student,0,50,2
10,student,1,50,28
10,student,2,50,37
10,student,3,50,4
20,foreground_rescue_10,0,50,0
20,foreground_rescue_10,1,50,19
20,foreground_rescue_10,2,50,40
20,foreground_rescue_10,3,50,15
20,foreground_rescue_20,0,50,0
20,foreground_rescue_20,1,50,19
20,foreground_rescue_20,2,50,40
20,foreground_rescue_20,3,50,15
20,foreground_rescue_5,0,50,0
20,foreground_rescue_5,1,50,19
20,foreground_rescue_5,2,50,40
20,foreground_rescue_5,3,50,15
20,random,0,50,0
20,random,1,50,19
20,random,2,50,40
20,random,3,50,15
20,random_rescue_10,0,50,0
20,random_rescue_10,1,50,19
20,random_rescue_10,2,50,40
20,random_rescue_10,3,50,15
20,random_rescue_20,0,50,0
20,random_rescue_20,1,50,19
20,random_rescue_20,2,50,40
20,random_rescue_20,3,50,15
20,random_rescue_5,0,50,0
20,random_rescue_5,1,50,19
20,random_rescue_5,2,50,40
20,random_rescue_5,3,50,15
20,student,0,50,0
20,student,1,50,19
20,student,2,50,40
20,student,3,50,15
40,foreground_rescue_10,0,50,1
40,foreground_rescue_10,1,50,28
40,foreground_rescue_10,2,50,38
40,foreground_rescue_10,3,50,3
40,foreground_rescue_20,0,50,1
40,foreground_rescue_20,1,50,28
