mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.056209832,0.8631736,0.91,8.21,0.06482925,0.056643005
foreground_rescue_20,0.05406048,0.87102526,0.915,13.18,0.066978596,0.06449462
foreground_rescue_5,0.0744475,0.83642685,0.88,4.525,0.046591584,0.02989624
random,0.05032505,0.84012854,0.9,0.0,0.070714034,0.033597976
random_rescue_10,0.11572723,0.8214363,0.86,8.21,0.005311849,0.014905679
random_rescue_20,0.09713176,0.82009774,0.87,13.18,0.023907328,0.013567109
random_rescue_5,0.10219669,0.8064673,0.85,4.525,0.018842386,-6.3341635e-05
student,0.121039085,0.8065306,0.845,0.0,0.0,0.0
