epoch,mask_method,group,x,y,spearman,n
5,foreground_rescue_20,-1,background_selection_ratio,kl,0.0870900041832277,200
5,foreground_rescue_20,-1,foreground_missing_ratio,kl,0.05995467146643445,200
5,foreground_rescue_20,-1,background_selection_ratio,gt_probability_drop,-0.07503880987924269,200
5,foreground_rescue_20,0,background_selection_ratio,kl,0.09328466278141835,50
5,foreground_rescue_20,0,foreground_missing_ratio,kl,0.2164361578578776,50
5,foreground_rescue_20,0,background_selection_ratio,gt_probability_drop,-0.11120185084396678,50
5,foreground_rescue_20,1,background_selection_ratio,kl,0.07384798453552915,50
5,foreground_rescue_20,1,foreground_missing_ratio,kl,-0.3074881578497782,50
5,foreground_rescue_20,1,background_selection_ratio,gt_probability_drop,-0.1864950078211703,50
5,foreground_rescue_20,2,background_selection_ratio,kl,0.17774790285499947,50
5,foreground_rescue_20,2,foreground_missing_ratio,kl,0.20624508846413675,50
5,foreground_rescue_20,2,background_selection_ratio,gt_probability_drop,0.10270946386594294,50
5,foreground_rescue_20,3,background_selection_ratio,kl,0.11548169043698439,50
5,foreground_rescue_20,3,foreground_missing_ratio,kl,0.0944100935290388,50
5,foreground_rescue_20,3,background_selection_ratio,gt_probability_drop,0.025133967581582536,50
5,foreground_rescue_5,-1,background_selection_ratio,kl,0.16983945316524465,200
5,foreground_rescue_5,-1,foreground_missing_ratio,kl,0.16340340272948933,200
5,foreground_rescue_5,-1,background_selection_ratio,gt_probability_drop,0.0360873011774822,200
5,foreground_rescue_5,0,background_selection_ratio,kl,0.2108677146597811,50
5,foreground_rescue_5,0,foreground_missing_ratio,kl,0.2334698269895177,50
5,foreground_rescue_5,0,background_selection_ratio,gt_probability_drop,-0.02272509205606663,50
5,foreground_rescue_5,1,background_selection_ratio,kl,0.15201308935601443,50
5,foreground_rescue_5,1,foreground_missing_ratio,kl,0.015592785616405183,50
5,foreground_rescue_5,1,background_selection_ratio,gt_probability_drop,-0.08302105512237451,50
5,foreground_rescue_5,2,background_selection_ratio,kl,0.1879594796628373,50
5,foreground_rescue_5,2,foreground_missing_ratio,kl,0.28517221031550155,50
5,foreground_rescue_5,2,background_selection_ratio,gt_probability_drop,0.2050641766873695,50
5,foreground_rescue_5,3,background_selection_ratio,kl,0.14687584447612562,50
5,foreground_rescue_5,3,foreground_missing_ratio,kl,0.23268574994985727,50
5,foreground_rescue_5,3,background_selection_ratio,gt_probability_drop,0.1646527703695396,50
5,random,-1,background_selection_ratio,kl,0.14990335214001663,200
5,random,-1,foreground_missing_ratio,kl,0.015855115286724616,200
5,random,-1,background_selection_ratio,gt_probability_drop,0.12903546335042104,200
5,random,0,background_selection_ratio,kl,0.15899266458340883,50
5,random,0,foreground_missing_ratio,kl,0.126590789615269,50
5,random,0,background_selection_ratio,gt_probability_drop,-0.06728831028318391,50
5,random,1,background_selection_ratio,kl,0.29347587716785206,50
5,random,1,foreground_missing_ratio,kl,-0.0014408530115563758,50
5,random,1,background_selection_ratio,gt_probability_drop,0.1690948001309528,50
5,random,2,background_selection_ratio,kl,0.17411997026893705,50
5,random,2,foreground_missing_ratio,kl,0.1378896332059452,50
5,random,2,background_selection_ratio,gt_probability_drop,0.37553779952566213,50
5,random,3,background_selection_ratio,kl,0.030514917520870512,50
5,random,3,foreground_missing_ratio,kl,-0.03885313650930964,50
5,random,3,background_selection_ratio,gt_probability_drop,0.06290397958239292,50
5,random_rescue_10,-1,background_selection_ratio,kl,0.2707511093484035,200
5,random_rescue_10,-1,foreground_missing_ratio,kl,0.28098666513943416,200
5,random_rescue_10,-1,background_selection_ratio,gt_probability_drop,0.1428439168987007,200
5,random_rescue_10,0,background_selection_ratio,kl,0.14489900712242457,50
5,random_rescue_10,0,foreground_missing_ratio,kl,0.42440394739597603,50
5,random_rescue_10,0,background_selection_ratio,gt_probability_drop,0.08018449697855659,50
5,random_rescue_10,1,background_selection_ratio,kl,0.3003486914864341,50
5,random_rescue_10,1,foreground_missing_ratio,kl,0.20049972102071068,50
5,random_rescue_10,1,background_selection_ratio,gt_probability_drop,0.08575897336936597,50
5,random_rescue_10,2,background_selection_ratio,kl,0.39255175983453117,50
5,random_rescue_10,2,foreground_missing_ratio,kl,0.48106615786756957,50
5,random_rescue_10,2,background_selection_ratio,gt_probability_drop,0.42003855217451797,50
5,random_rescue_10,3,background_selection_ratio,kl,0.40734346543514693,50
5,random_rescue_10,3,foreground_missing_ratio,kl,0.3105071075420433,50
5,random_rescue_10,3,background_selection_ratio,gt_probability_drop,0.1480200417107424,50
5,random_rescue_20,-1,background_selection_ratio,kl,0.2603049997061884,200
5,random_rescue_20,-1,foreground_missing_ratio,kl,0.2602960425407547,200
5,random_rescue_20,-1,background_selection_ratio,gt_probability_drop,0.15010857874304576,200
5,random_rescue_20,0,background_selection_ratio,kl,0.2722992066016449,50
5,random_rescue_20,0,foreground_missing_ratio,kl,0.3388723500737811,50
5,random_rescue_20,0,background_selection_ratio,gt_probability_drop,0.06641678494943051,50
5,random_rescue_20,1,background_selection_ratio,kl,0.15267069758079627,50
5,random_rescue_20,1,foreground_missing_ratio,kl,0.11701108277599259,50
5,random_rescue_20,1,background_selection_ratio,gt_probability_drop,-0.015521761195655397,50
5,random_rescue_20,2,background_selection_ratio,kl,0.4587809725539383,50
5,random_rescue_20,2,foreground_missing_ratio,kl,0.5319118307203032,50
5,random_rescue_20,2,background_selection_ratio,gt_probability_drop,0.5139961540208363,50
5,random_rescue_20,3,background_selection_ratio,kl,0.20199940273636696,50
5,random_rescue_20,3,foreground_missing_ratio,kl,0.14824241277177355,50
5,random_rescue_20,3,background_selection_ratio,gt_probability_drop,0.15057438229194328,50
5,random_rescue_5,-1,background_selection_ratio,kl,0.26452178706180723,200
5,random_rescue_5,-1,foreground_missing_ratio,kl,0.28738633201304,200
5,random_rescue_5,-1,background_selection_ratio,gt_probability_drop,0.22916007451185147,200
5,random_rescue_5,0,background_selection_ratio,kl,0.17692444866851947,50
5,random_rescue_5,0,foreground_missing_ratio,kl,0.23577997077554225,50
5,random_rescue_5,0,background_selection_ratio,gt_probability_drop,0.045036188101712234,50
5,random_rescue_5,1,background_selection_ratio,kl,0.3090232980483757,50
5,random_rescue_5,1,foreground_missing_ratio,kl,0.26675639853989586,50
5,random_rescue_5,1,background_selection_ratio,gt_probability_drop,0.2816293198387997,50
5,random_rescue_5,2,background_selection_ratio,kl,0.4927064719644099,50
5,random_rescue_5,2,foreground_missing_ratio,kl,0.46776324025457994,50
5,random_rescue_5,2,background_selection_ratio,gt_probability_drop,0.5403861929856464,50
5,random_rescue_5,3,background_selection_ratio,kl,0.17753647245018786,50
5,random_rescue_5,3,foreground_missing_ratio,kl,0.31488462636020836,50
5,random_rescue_5,3,background_selection_ratio,gt_probability_drop,0.14942092388945155,50
5,student,-1,background_selection_ratio,kl,0.23867294467584174,200
5,student,-1,foreground_missing_ratio,kl,0.30112936834660253,200
5,student,-1,background_selection_ratio,gt_probability_drop,0.20834492768550336,200
5,student,0,background_selection_ratio,kl,0.04379790809958324,50
5,student,0,foreground_missing_ratio,kl,0.25653708557831056,50
5,student,0,background_selection_ratio,gt_probability_drop,0.1242552616036899,50
5,student,1,background_selection_ratio,kl,0.35741231102446797,50
5,student,1,foreground_missing_ratio,kl,0.23777268622721726,50
5,student,1,background_selection_ratio,gt_probability_drop,0.18228556365463522,50
5,student,2,background_selection_ratio,kl,0.43745054010600964,50
5,student,2,foreground_missing_ratio,kl,0.4295901463458251,50
5,student,2,background_selection_ratio,gt_probability_drop,0.4846840507523417,50
5,student,3,background_selection_ratio,kl,0.30079529668976496,50
5,student,3,foreground_missing_ratio,kl,0.44726163906382904,50
5,student,3,background_selection_ratio,gt_probability_drop,0.2320832720465759,50
10,foreground_rescue_10,-1,background_selection_ratio,kl,0.17028417478437927,200
10,foreground_rescue_10,-1,foreground_missing_ratio,kl,0.12433029977022639,200
10,foreground_rescue_10,-1,background_selection_ratio,gt_probability_drop,-0.057639284310607226,200
10,foreground_rescue_10,0,background_selection_ratio,kl,0.24722508116836914,50
10,foreground_rescue_10,0,foreground_missing_ratio,kl,0.20776353084700708,50
10,foreground_rescue_10,0,background_selection_ratio,gt_probability_drop,-0.19475281904283773,50
10,foreground_rescue_10,1,background_selection_ratio,kl,-0.03830166761476345,50
10,foreground_rescue_10,1,foreground_missing_ratio,kl,0.11934292660517971,50
10,foreground_rescue_10,1,background_selection_ratio,gt_probability_drop,-0.26940922038690573,50
10,foreground_rescue_10,2,background_selection_ratio,kl,0.27275797204076335,50
10,foreground_rescue_10,2,foreground_missing_ratio,kl,0.12310392634744845,50
10,foreground_rescue_10,2,background_selection_ratio,gt_probability_drop,0.3136115889984107,50
10,foreground_rescue_10,3,background_selection_ratio,kl,0.3603911473308959,50
10,foreground_rescue_10,3,foreground_missing_ratio,kl,0.30764401484246434,50
10,foreground_rescue_10,3,background_selection_ratio,gt_probability_drop,0.03752372831161574,50
10,foreground_rescue_20,-1,background_selection_ratio,kl,0.027637963816628523,200
10,foreground_rescue_20,-1,foreground_missing_ratio,kl,0.11775515201698776,200
10,foreground_rescue_20,-1,background_selection_ratio,gt_probability_drop,-0.060483015927061665,200
10,foreground_rescue_20,0,background_selection_ratio,kl,-0.06495316627551813,50
10,foreground_rescue_20,0,foreground_missing_ratio,kl,0.18225645346258842,50
10,foreground_rescue_20,0,background_selection_ratio,gt_probability_drop,-0.10646169856993208,50
