mask_method,kl,gt_probability,correct,actual_swaps,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask
foreground_rescue_10,0.08150075,0.84292865,0.885,7.835,0.07513954,0.042089093
foreground_rescue_20,0.10261935,0.85396224,0.895,12.35,0.054020934,0.053122737
foreground_rescue_5,0.08835139,0.82757086,0.86,4.455,0.0682889,0.026731387
random,0.16123016,0.7669298,0.795,0.0,-0.004589875,-0.03390976
random_rescue_10,0.12814821,0.8072536,0.84,7.835,0.028492082,0.0064140903
random_rescue_20,0.116519034,0.8147634,0.845,12.35,0.040121254,0.0139239
random_rescue_5,0.11782224,0.8133501,0.85,4.455,0.03881805,0.012510541
student,0.15664029,0.80083954,0.83,0.0,0.0,0.0
